District,Zone,Geographical Region,Development Region,School Number,School Code,Name of School,ENGLISH,NEPALI,MATHS,SCIENCE,SOCIAL STUDIES,HEALTH POPULATION AND ENVIRONMENT,DISTINCTION,FIRST DIVISION,SECOND DIVISION,THIRD DIVISION,PASS,FAIL,PASS PERCENT
Sindhupalchok,Bagmati,Mountain,Central,1466,23000,PRIVATE SINDHUPALCHOK,27.5,48.5,35.2,36.7,39.3,38.3,0,0,3,1,4,2,66.7
Sindhupalchok,Bagmati,Mountain,Central,1467,23001,KRISHNA RATNA GANGA MA VI CHAUTARA,27.2,41.5,49.3,33.1,44.4,35.4,0,10,83,2,95,37,72
Sindhupalchok,Bagmati,Mountain,Central,1468,23002,ANANDA MA VI JALBIR,31.6,44.5,54.3,36.2,46.9,39.3,0,10,38,1,49,2,96.1
Sindhupalchok,Bagmati,Mountain,Central,1469,23003,SARASWATI MA VI GYALTHUM,31.5,49.6,42.7,32.9,44.6,36,0,13,73,7,93,17,84.5
Sindhupalchok,Bagmati,Mountain,Central,1470,23004,JALPA MA VI KOTHE LAMUSANGHU,29.4,41.3,39.6,38.8,45.4,39.9,0,10,39,1,50,16,75.8
Sindhupalchok,Bagmati,Mountain,Central,1471,23005,BAGHA BHAIRAB MA VI THOKARPA,29.6,48.7,48.8,42.1,49,44.1,5,24,41,1,71,24,74.7
Sindhupalchok,Bagmati,Mountain,Central,1472,23006,JANA JAGRITI MA VI SANGACHOK,29.4,48.3,39.3,42.3,42.1,40.2,0,14,110,16,140,33,80.9
Sindhupalchok,Bagmati,Mountain,Central,1473,23007,MAHENDRA KANTI MA VI KALIKA,24,41.4,36.7,37.6,42.7,40.2,0,7,22,0,29,19,60.4
Sindhupalchok,Bagmati,Mountain,Central,1474,23008,SARASWATI MA VI BHOTECHAUR,25.9,43.6,38.7,34.2,41.2,38.6,0,3,37,7,47,9,83.9
Sindhupalchok,Bagmati,Mountain,Central,1475,23009,SHARADA MA VI BAHRABISE,33.9,52.6,54.9,36.8,44.7,35.3,0,28,59,5,92,10,90.2
Sindhupalchok,Bagmati,Mountain,Central,1476,23010,AINESELUKHARKA MA VI AINSELUKHARKA,17.8,39.1,24.2,30.5,38.9,28,0,3,10,1,14,60,18.9
Sindhupalchok,Bagmati,Mountain,Central,1477,23011,SINDHU PURANA GAUN MA VI SINDHUKOT,25.8,45.9,41.8,33.1,45.1,38.5,0,1,20,0,21,5,80.8
Sindhupalchok,Bagmati,Mountain,Central,1478,23012,KAKALING HARI SIDDI MA VI THULO PAKHAR,29.5,48,58.4,34.5,48.5,33.4,0,27,68,1,96,17,85
