"","X","Name","Genre","Platform","Total_Sales","NA_Sales","JP_Sales","PAL_Sales","Other_Sales","Year"
"1",2036,"Colin McRae Rally 04","Racing","PC",0.01,0,0,0.01,0,2004
"2",1484,"Colin McRae Rally 04","Racing","PS2",0.94,0.01,0.01,0.71,0.21,2003
"3",1954,"Colin McRae Rally 04","Action","XB",0.1,0.08,0,0.02,0,2004
"4",6262,"Grand Theft Auto: The Trilogy","Adventure","PC",0.03,0,0.01,0.02,0,2009
"5",5952,"Grand Theft Auto: The Trilogy","Adventure","PS2",1.14,0,0.01,0.51,0.62,2005
"6",6009,"Grand Theft Auto: The Trilogy","Adventure","XB",0.09,0.06,0.01,0.02,0,2005
"7",2365,"Gun","Shooter","PC",0.01,0,0,0.01,0,2005
"8",270,"Gun","Shooter","PS2",1.19,0.98,0.01,0.04,0.16,2005
"9",2117,"Gun","Shooter","XB",0.52,0.38,0,0.12,0.02,2005
"10",1427,"Harry Potter and the Chamber of Secrets","Adventure","PC",0.01,0,0,0.01,0,2002
"11",5691,"Harry Potter and the Chamber of Secrets","Adventure","PS2",2.61,0.9,0.0499999999999998,1.22,0.44,2002
"12",1236,"Harry Potter and the Chamber of Secrets","Adventure","XB",0.36,0.27,0,0.08,0.01,2002
"13",2369,"Harry Potter and the Goblet of Fire","Adventure","PC",0.01,0,0,0.01,0,2005
"14",2099,"Harry Potter and the Goblet of Fire","Adventure","PS2",0.65,0.54,0,0.02,0.09,2005
"15",293,"Harry Potter and the Goblet of Fire","Adventure","XB",0.25,0.18,0.00999999999999998,0.05,0.01,2005
"16",5932,"Harry Potter and the Prisoner of Azkaban","Adventure","PC",0.04,0,0.01,0.03,0,2004
"17",1802,"Harry Potter and the Prisoner of Azkaban","Adventure","PS2",1.02,0.5,0,0.39,0.13,2004
"18",1907,"Harry Potter and the Prisoner of Azkaban","Adventure","XB",0.19,0.14,0,0.04,0.01,2004
"19",1115,"Harry Potter and the Sorcerer's Stone","Action","PC",0.06,0.01,0,0.04,0.01,2001
"20",145,"Harry Potter and the Sorcerer's Stone","Action","PS2",0.3,0.14,0.00999999999999995,0.11,0.04,2003
"21",1692,"Harry Potter and the Sorcerer's Stone","Action","XB",0.07,0.05,0,0.02,0,2003
"22",2358,"Heroes of the Pacific","Simulation","PC",0.02,0,0,0.02,0,2005
"23",2156,"Heroes of the Pacific","Simulation","PS2",0.29,0.14,0,0.11,0.04,2005
"24",2226,"Heroes of the Pacific","Simulation","XB",0.13,0.1,0,0.03,0,2005
"25",2546,"Hitman: Blood Money","Action","PC",0.03,0,0,0.03,0,2006
"26",2407,"Hitman: Blood Money","Action","PS2",0.5,0.25,0,0.19,0.06,2006
"27",358,"Hitman: Blood Money","Action","XB",0.16,0.11,0.00999999999999998,0.03,0.01,2006
"28",2351,"Indigo Prophecy","Adventure","PC",0.02,0,0,0.02,0,2005
"29",2218,"Indigo Prophecy","Adventure","PS2",0.15,0.07,0,0.06,0.02,2005
"30",2250,"Indigo Prophecy","Adventure","XB",0.1,0.07,0,0.03,0,2005
"31",1741,"Jurassic Park: Operation Genesis","Simulation","PC",0.02,0,0,0.02,0,2003
"32",5807,"Jurassic Park: Operation Genesis","Simulation","PS2",0.27,0.13,0.01,0.1,0.03,2003
"33",5844,"Jurassic Park: Operation Genesis","Simulation","XB",0.07,0.05,0.01,0.01,0,2003
"34",1757,"Legacy of Kain: Defiance","Adventure","PC",0.01,0,0,0.01,0,2003
"35",1515,"Legacy of Kain: Defiance","Adventure","PS2",0.53,0.26,0,0.2,0.07,2003
"36",1614,"Legacy of Kain: Defiance","Adventure","XB",0.19,0.14,0,0.04,0.01,2003
