"","X","Name","Genre","Platform","Total_Sales","NA_Sales","JP_Sales","PAL_Sales","Other_Sales","Year"
"1",718,"Alien: Isolation","Adventure","PC",0.16,0,0.00999999999999998,0.14,0.01,2014
"2",4335,"Alien: Isolation","Adventure","PS4",1.09,0.29,0.05,0.59,0.16,2014
"3",4372,"Alien: Isolation","Adventure","XOne",0.52,0.23,0,0.25,0.04,2014
"4",4220,"Assassin's Creed IV: Black Flag","Action-Adventure","PC",0.63,0.24,0,0.34,0.05,2013
"5",4190,"Assassin's Creed IV: Black Flag","Action-Adventure","PS4",3.19,1.07,0.06,1.55,0.51,2013
"6",4195,"Assassin's Creed IV: Black Flag","Action","XOne",2.32,1.51,0,0.59,0.22,2013
"7",5493,"Assassin's Creed Odyssey","Action-Adventure","PC",0.06,0,0,0.06,0,2018
"8",5365,"Assassin's Creed Odyssey","Action-Adventure","PS4",3.18,1.18,0.09,1.4,0.51,2018
"9",5374,"Assassin's Creed Odyssey","Action-Adventure","XOne",1.39,0.91,0,0.35,0.13,2018
"10",4599,"Assassin's Creed Syndicate","Action","PC",0.26,0.15,0,0.09,0.02,2015
"11",6486,"Assassin's Creed Syndicate","Action","PS4",3.6,0.9,0.0900000000000002,2.06,0.55,2015
"12",4537,"Assassin's Creed Syndicate","Action","XOne",1.44,0.71,0,0.61,0.12,2015
"13",6463,"Assassin's Creed: Unity","Action","PC",0.56,0.2,0.01,0.31,0.04,2014
"14",689,"Assassin's Creed: Unity","Action","PS4",4.16,1.25,0.100000000000001,2.16,0.65,2014
"15",4314,"Assassin's Creed: Unity","Action","XOne",3.58,2.34,0,0.9,0.34,2014
"16",4297,"Battle Worlds: Kronos","Strategy","PC",0.01,0,0,0.01,0,2013
"17",5026,"Battle Worlds: Kronos","Strategy","PS4",0.01,0.01,0,0,0,2016
"18",5040,"Battle Worlds: Kronos","Strategy","XOne",0.01,0.01,0,0,0,2016
"19",4846,"Battleborn","Shooter","PC",0.2,0.12,0,0.06,0.02,2016
"20",4806,"Battleborn","Shooter","PS4",0.48,0.25,0.03,0.12,0.08,2016
"21",4832,"Battleborn","Shooter","XOne",0.28,0.2,0,0.05,0.03,2016
"22",4794,"Battlefield 1","Shooter","PC",0.77,0.3,0,0.41,0.06,2016
"23",4767,"Battlefield 1","Shooter","PS4",7.26,2.2,0.29,3.65,1.12,2016
"24",4768,"Battlefield 1","Shooter","XOne",5.13,3.37,0.02,1.26,0.48,2016
"25",4202,"Battlefield 4","Shooter","PC",1.39,0.44,0,0.85,0.1,2013
"26",662,"Battlefield 4","Shooter","PS4",3.96,1.4,0.2,1.74,0.62,2013
"27",664,"Battlefield 4","Shooter","XOne",2.11,1.26,0.0100000000000002,0.65,0.19,2013
"28",5465,"Battlefield V","Shooter","PC",0.1,0,0,0.09,0.01,2018
"29",878,"Battlefield V","Shooter","PS4",2.24,0.8,0.17,0.93,0.34,2018
"30",5372,"Battlefield V","Shooter","XOne",1.55,1.05,0,0.35,0.15,2018
"31",4630,"Battlefield: Hardline","Shooter","PC",0.14,0,0,0.13,0.01,2015
"32",729,"Battlefield: Hardline","Shooter","PS4",2.17,0.72,0.15,0.97,0.33,2015
"33",4544,"Battlefield: Hardline","Shooter","XOne",1.24,0.73,0.01,0.39,0.11,2015
"34",4382,"Call of Duty: Advanced Warfare","Shooter","PC",0.42,0.17,0,0.22,0.03,2014
"35",686,"Call of Duty: Advanced Warfare","Shooter","PS4",7.55,2.84,0.15,3.34,1.22,2014
"36",688,"Call of Duty: Advanced Warfare","Shooter","XOne",5.24,3.25,0.0200000000000007,1.49,0.48,2014
"37",4596,"Call of Duty: Black Ops 3","Shooter","PC",0.3,0,0,0.28,0.02,2015
"38",6483,"Call of Duty: Black Ops 3","Shooter","PS4",15.09,6.18,0.42,6.05,2.44,2015
"39",4518,"Call of Duty: Black Ops 3","Shooter","XOne",7.37,4.63,0.02,2.04,0.68,2015
"40",5440,"Call of Duty: Black Ops IIII","Shooter","PC",0.13,0.05,0,0.07,0.01,2018
"41",5360,"Call of Duty: Black Ops IIII","Shooter","PS4",9.32,4.05,0.5,3.28,1.49,2018
"42",5364,"Call of Duty: Black Ops IIII","Shooter","XOne",4.85,3.27,0,1.12,0.46,2018
"43",4218,"Call of Duty: Ghosts","Shooter","PC",0.67,0.26,0,0.36,0.05,2013
"44",4188,"Call of Duty: Ghosts","Shooter","PS4",4.17,1.79,0.05,1.64,0.69,2013
"45",6420,"Call of Duty: Ghosts","Shooter","XOne",3.07,1.92,0.00999999999999979,0.86,0.28,2013
"46",794,"Call of Duty: Infinite Warfare","Shooter","PC",0.35,0.12,0.01,0.19,0.03,2016
"47",770,"Call of Duty: Infinite Warfare","Shooter","PS4",8.5,3.11,0.2,3.83,1.36,2016
"48",4770,"Call of Duty: Infinite Warfare","Shooter","XOne",4.79,2.91,0,1.44,0.44,2016
"49",5127,"Call of Duty: WWII","Shooter","PC",0.19,0.07,0,0.11,0.01,2017
"50",5049,"Call of Duty: WWII","Shooter","PS4",13.4,4.67,0.4,6.21,2.12,2017
"51",5050,"Call of Duty: WWII","Shooter","XOne",6.23,3.75,0,1.91,0.57,2017
"52",5640,"Darksiders III","Action","PC",0.01,0,0,0.01,0,2018
"53",6662,"Darksiders III","Action","PS4",0.25,0.13,0.01,0.07,0.04,2018
"54",5446,"Darksiders III","Action","XOne",0.12,0.11,0,0,0.01,2018
"55",5342,"Deformers","Action","PC",0.01,0.01,0,0,0,2017
"56",5214,"Deformers","Action","PS4",0.06,0.05,0,0,0.01,2017
"57",5237,"Deformers","Action","XOne",0.05,0.04,0,0,0.01,2017
"58",6604,"Destiny 2","Shooter","PC",0.16,0.09,0.01,0.05,0.01,2017
"59",824,"Destiny 2","Shooter","PS4",4.16,1.92,0.110000000000001,1.44,0.69,2017
"60",827,"Destiny 2","Shooter","XOne",2.37,1.66,0.00999999999999979,0.47,0.23,2017
"61",5606,"Destiny 2: Forsaken","Shooter","PC",0.02,0,0,0.02,0,2018
"62",5398,"Destiny 2: Forsaken","Shooter","PS4",0.36,0.19,0,0.11,0.06,2018
"63",5438,"Destiny 2: Forsaken","Shooter","XOne",0.13,0.08,0,0.04,0.01,2018
"64",6565,"Deus Ex: Mankind Divided","Role-Playing","PC",0.07,0,0.01,0.06,0,2016
"65",4796,"Deus Ex: Mankind Divided","Role-Playing","PS4",0.72,0.25,0.01,0.34,0.12,2016
"66",792,"Deus Ex: Mankind Divided","Role-Playing","XOne",0.41,0.25,0.01,0.11,0.04,2016
"67",5330,"DiRT 4","Racing","PC",0.01,0,0,0.01,0,2017
"68",5087,"DiRT 4","Racing","PS4",0.49,0.1,0.02,0.3,0.07,2017
"69",5119,"DiRT 4","Racing","XOne",0.23,0.11,0,0.1,0.02,2017
"70",6522,"DiRT Rally","Racing","PC",0.04,0,0.01,0.03,0,2015
"71",4803,"DiRT Rally","Racing","PS4",0.51,0.13,0,0.3,0.08,2016
"72",798,"DiRT Rally","Racing","XOne",0.23,0.12,0.01,0.08,0.02,2016
"73",796,"Dishonored 2","Action","PC",0.28,0.08,0.01,0.17,0.02,2016
"74",6534,"Dishonored 2","Action","PS4",1.97,0.62,0.02,1.02,0.31,2016
"75",4791,"Dishonored 2","Action","XOne",0.86,0.47,0,0.31,0.08,2016
"76",4818,"Doom (2016)","Shooter","PC",0.38,0.11,0,0.24,0.03,2016
"77",6530,"Doom (2016)","Shooter","PS4",2.92,0.93,0.0499999999999998,1.48,0.46,2016
"78",778,"Doom (2016)","Shooter","XOne",1.47,0.76,0.01,0.57,0.13,2016
"79",4343,"Dragon Age: Inquisition","Role-Playing","PC",0.78,0.38,0,0.33,0.07,2014
"80",6449,"Dragon Age: Inquisition","Role-Playing","PS4",2.34,1.07,0.0899999999999998,0.8,0.38,2014
"81",4338,"Dragon Age: Inquisition","Role-Playing","XOne",0.99,0.63,0,0.27,0.09,2014
"82",4612,"Evolve","Misc","PC",0.22,0.1,0,0.1,0.02,2015
"83",6491,"Evolve","Shooter","PS4",1.01,0.38,0.06,0.41,0.16,2015
"84",6495,"Evolve","Shooter","XOne",0.67,0.4,0.01,0.2,0.06,2015
"85",4679,"F1 2015","Racing","PC",0.06,0,0,0.06,0,2015
"86",739,"F1 2015","Racing","PS4",0.7,0.1,0.0499999999999999,0.45,0.1,2015
"87",751,"F1 2015","Racing","XOne",0.27,0.09,0.01,0.15,0.02,2015
"88",5286,"F1 2017","Racing","PC",0.02,0,0,0.02,0,2017
"89",5073,"F1 2017","Racing","PS4",0.62,0.04,0.02,0.47,0.09,2017
"90",6603,"F1 2017","Racing","XOne",0.19,0.04,0.01,0.13,0.01,2017
"91",5628,"F1 2018","Racing","PC",0.01,0,0,0.01,0,2018
"92",5387,"F1 2018","Racing","PS4",0.53,0.05,0.01,0.39,0.08,2018
"93",6665,"F1 2018","Racing","XOne",0.17,0.05,0.01,0.1,0.01,2018
"94",4538,"Fallout 4","Role-Playing","PC",1.4,0.57,0,0.72,0.11,2015
"95",726,"Fallout 4","Role-Playing","PS4",8.5,2.91,0.28,3.97,1.34,2015
"96",4521,"Fallout 4","Role-Playing","XOne",5.03,2.94,0.02,1.62,0.45,2015
"97",5422,"Fallout 76","Role-Playing","PC",0.21,0.12,0,0.07,0.02,2018
"98",6649,"Fallout 76","Role-Playing","PS4",1.32,0.52,0.11,0.49,0.2,2018
"99",883,"Fallout 76","Role-Playing","XOne",0.95,0.59,0.0099999999999999,0.26,0.09,2018
"100",4359,"Far Cry 4","Shooter","PC",0.65,0.19,0,0.41,0.05,2014
"101",4313,"Far Cry 4","Shooter","PS4",4.06,1.18,0.11,2.14,0.63,2014
"102",692,"Far Cry 4","Shooter","XOne",1.7,0.85,0.03,0.68,0.14,2014
"103",5477,"Far Cry 5","Action","PC",0.07,0,0,0.07,0,2018
"104",6647,"Far Cry 5","Action","PS4",3.95,1.44,0.16,1.73,0.62,2018
"105",5370,"Far Cry 5","Action","XOne",1.78,1.14,0,0.47,0.17,2018
"106",4837,"Far Cry: Primal","Action-Adventure","PC",0.25,0.07,0,0.16,0.02,2016
"107",6531,"Far Cry: Primal","Action-Adventure","PS4",2.73,0.63,0.0799999999999998,1.61,0.41,2016
"108",783,"Far Cry: Primal","Action-Adventure","XOne",1.02,0.51,0.01,0.41,0.09,2016
"109",4784,"Farming Simulator 17","Simulation","PC",1.12,0.11,0,0.94,0.07,2016
"110",4792,"Farming Simulator 17","Simulation","PS4",0.85,0.19,0.01,0.52,0.13,2016
"111",4826,"Farming Simulator 17","Simulation","XOne",0.33,0.19,0,0.11,0.03,2016
"112",5385,"Farming Simulator 19","Simulation","PC",0.58,0,0,0.55,0.03,2018
"113",6654,"Farming Simulator 19","Simulation","PS4",0.47,0.13,0.00999999999999995,0.26,0.07,2018
