Month,Sales
1999-12-31,0.02
2000-01-31,2.99
2000-02-29,0.01
2000-03-31,0.01
2000-04-30,0.06
2000-05-31,1.07
2000-06-30,1.49
2000-07-31,0.807142857142857
2000-08-31,0.807142857142857
2000-09-30,0.807142857142857
2000-10-31,0.807142857142857
2000-11-30,0.807142857142857
2000-12-31,0.06
2001-01-31,0.02
2001-02-28,4.06
2001-03-31,0.14
2001-04-30,1.07
2001-05-31,1.07
2001-06-30,1.07
2001-07-31,1.07
2001-08-31,1.07
2001-09-30,1.07
2001-10-31,1.07
2001-11-30,1.07
2001-12-31,0.05
2002-01-31,0.05
2002-02-28,0.04
2002-03-31,0.05
2002-04-30,6.89
2002-05-31,1.31
2002-06-30,1.39833333333333
2002-07-31,1.39833333333333
2002-08-31,1.39833333333333
2002-09-30,1.39833333333333
2002-10-31,1.39833333333333
2002-11-30,1.39833333333333
2002-12-31,0.04
2003-01-31,0.05
2003-02-28,0.03
2003-03-31,0.05
2003-04-30,0.34
2003-05-31,0.14
2003-06-30,4.14
2003-07-31,2.27
2003-08-31,0.3
2003-09-30,0.817777777777778
2003-10-31,0.817777777777778
2003-11-30,0.817777777777778
2003-12-31,0.07
2004-01-31,0.14
2004-02-29,0.34
2004-03-31,0.3
2004-04-30,0.01
2004-05-31,0.38
2004-06-30,0.206666666666667
2004-07-31,0.206666666666667
2004-08-31,0.206666666666667
2004-09-30,0.206666666666667
2004-10-31,0.206666666666667
2004-11-30,0.206666666666667
2004-12-31,1.04
2005-01-31,0.03
2005-02-28,0.02
2005-03-31,0.28
2005-04-30,0.17
2005-05-31,0.49
2005-06-30,1.5
2005-07-31,0.01
2005-08-31,0.75
2005-09-30,0.476666666666667
2005-10-31,0.476666666666667
2005-11-30,0.476666666666667
2005-12-31,0.1
2006-01-31,0.09
2006-02-28,0.02
2006-03-31,0.03
2006-04-30,0.09
2006-05-31,0.1
2006-06-30,0.09
2006-07-31,1.26
2006-08-31,0.02
2006-09-30,0.53
2006-10-31,0.233
2006-11-30,0.233
2006-12-31,0.04
2007-01-31,0.07
2007-02-28,0.03
2007-03-31,0.05
2007-04-30,0.05
2007-05-31,0.1
2007-06-30,0.14
2007-07-31,1.64
2007-08-31,0.34
2007-09-30,1.19
2007-10-31,0.59
2007-11-30,0.385454545454545
2007-12-31,0.98
2008-01-31,1.28
2008-02-29,0.05
2008-03-31,0.04
2008-04-30,0.13
2008-05-31,0.19
2008-06-30,2.16
2008-07-31,1.91
2008-08-31,1.43
2008-09-30,0.07
2008-10-31,2.72
2008-11-30,0.996363636363636
2008-12-31,0.36
2009-01-31,0.75
2009-02-28,0.15
2009-03-31,0.1
2009-04-30,0.13
2009-05-31,0.08
2009-06-30,0.29
2009-07-31,1.07
2009-08-31,2.11
2009-09-30,8.95
2009-10-31,0.17
2009-11-30,1.57
2009-12-31,1.38
2010-01-31,0.27
2010-02-28,0.24
2010-03-31,1.58
2010-04-30,0.05
2010-05-31,0.57
2010-06-30,1.08
2010-07-31,3.29
2010-08-31,3.48
2010-09-30,1.82
2010-10-31,3.35
2010-11-30,1.55545454545455
2010-12-31,3.44
2011-01-31,0.08
2011-02-28,0.13
2011-03-31,0.25
2011-04-30,0.14
2011-05-31,0.65
2011-06-30,1.59
2011-07-31,10.56
2011-08-31,7.74
2011-09-30,3.59
2011-10-31,2.47
2011-11-30,2.55
2011-12-31,0.37
2012-01-31,0.9
2012-02-29,0.07
2012-03-31,0.02
2012-04-30,0.74
2012-05-31,0.07
2012-06-30,0.09
2012-07-31,1.16
2012-08-31,4.29
2012-09-30,1.08
2012-10-31,1.59
2012-11-30,0.99
2012-12-31,0.91
2013-01-31,0.89
2013-02-28,0.03
2013-03-31,0.09
2013-04-30,0.25
2013-05-31,2.46
2013-06-30,1.96
2013-07-31,0.49
2013-08-31,0.01
2013-09-30,0.787777777777778
2013-10-31,0.787777777777778
2013-11-30,0.787777777777778
2013-12-31,1
2014-01-31,0.57
2014-02-28,0.16
2014-03-31,0.01
2014-04-30,0.42
2014-05-31,1.18
2014-06-30,0.02
2014-07-31,0.16
2014-08-31,0.98
2014-09-30,1.71
2014-10-31,5.6
2014-11-30,0.36
2014-12-31,0.6
2015-01-31,0.03
2015-02-28,0.05
2015-03-31,0.3
2015-04-30,0.03
2015-05-31,0.02
2015-06-30,0.29
2015-07-31,1.4
2015-08-31,1.25
2015-09-30,1.01
2015-10-31,0.59
2015-11-30,1.52
2015-12-31,0.37
2016-01-31,0.25
2016-02-29,0.14
2016-03-31,0.07
2016-04-30,0.7
2016-05-31,0.08
2016-06-30,0.14
2016-07-31,0.11
2016-08-31,3.43
2016-09-30,2
2016-10-31,0.29
2016-11-30,0.47
2016-12-31,0.19
2017-01-31,0.04
2017-02-28,0.01
2017-03-31,0.14
2017-04-30,0.05
2017-05-31,0.2
2017-06-30,0.44
2017-07-31,0.35
2017-08-31,0.09
2017-09-30,0.06
2017-10-31,0.157
2017-11-30,0.157
2017-12-31,0.08
2018-01-31,0.06
2018-02-28,0.01
2018-03-31,0.01
2018-04-30,0.01
2018-05-31,0.21
2018-06-30,0.25
2018-07-31,0.84
2018-08-31,0.18375
2018-09-30,0.18375
2018-10-31,0.18375
2018-11-30,0.18375
