Year,Genre,Sales
2000,Adventure,0.02
2000,Misc,2.99
2000,Puzzle,0.01
2000,Shooter,0.01
2000,Simulation,0.06
2000,Sports,1.07
2000,Strategy,1.49
2001,Action,0.06
2001,Shooter,0.02
2001,Simulation,4.06
2001,Strategy,0.14
2002,Action,0.05
2002,Adventure,0.05
2002,Role-Playing,0.04
2002,Shooter,0.05
2002,Simulation,6.89
2002,Strategy,1.31
2003,Action,0.04
2003,Adventure,0.05
2003,Platform,0.03
2003,Racing,0.05
2003,Role-Playing,0.34
2003,Shooter,0.14
2003,Simulation,4.14
2003,Sports,2.27
2003,Strategy,0.3
2004,Adventure,0.07
2004,Racing,0.14
2004,Shooter,0.34
2004,Simulation,0.3
2004,Sports,0.01
2004,Strategy,0.38
2005,Action,1.04
2005,Adventure,0.03
2005,Platform,0.02
2005,Racing,0.28
2005,Role-Playing,0.17
2005,Shooter,0.49
2005,Simulation,1.5
2005,Sports,0.01
2005,Strategy,0.75
2006,Action,0.1
2006,Adventure,0.09
2006,Misc,0.02
2006,Puzzle,0.03
2006,Racing,0.09
2006,Role-Playing,0.1
2006,Shooter,0.09
2006,Simulation,1.26
2006,Sports,0.02
2006,Strategy,0.53
2007,Action,0.04
2007,Adventure,0.07
2007,Misc,0.03
2007,Platform,0.05
2007,Puzzle,0.05
2007,Racing,0.1
2007,Role-Playing,0.14
2007,Shooter,1.64
2007,Simulation,0.34
2007,Sports,1.19
2007,Strategy,0.59
2008,Action,0.98
2008,Adventure,1.28
2008,Misc,0.05
2008,Platform,0.04
2008,Puzzle,0.13
2008,Racing,0.19
2008,Role-Playing,2.16
2008,Shooter,1.91
2008,Simulation,1.43
2008,Sports,0.07
2008,Strategy,2.72
2009,Action,0.36
2009,Adventure,0.75
2009,Fighting,0.15
2009,Misc,0.1
2009,Platform,0.13
2009,Puzzle,0.08
2009,Racing,0.29
2009,Role-Playing,1.07
2009,Shooter,2.11
2009,Simulation,8.95
2009,Sports,0.17
2009,Strategy,1.57
2010,Action,1.38
2010,Adventure,0.27
2010,Misc,0.24
2010,MMO,1.58
2010,Puzzle,0.05
2010,Racing,0.57
2010,Role-Playing,1.08
2010,Shooter,3.29
2010,Simulation,3.48
2010,Sports,1.82
2010,Strategy,3.35
2011,Action,2.53
2011,Adventure,0.91
2011,Fighting,0.08
2011,Misc,0.13
2011,MMO,0.25
2011,Platform,0.14
2011,Puzzle,0.65
2011,Racing,1.59
2011,Role-Playing,10.56
2011,Shooter,7.74
2011,Simulation,3.59
2011,Sports,2.47
2011,Strategy,2.55
2012,Action,0.37
2012,Action-Adventure,0.9
2012,Adventure,0.07
2012,Fighting,0.02
2012,Misc,0.74
2012,Platform,0.07
2012,Racing,0.09
2012,Role-Playing,1.16
2012,Shooter,4.29
2012,Simulation,1.08
2012,Sports,1.59
2012,Strategy,0.99
2013,Action,0.91
2013,Action-Adventure,0.89
2013,Adventure,0.03
2013,Misc,0.09
2013,Racing,0.25
2013,Shooter,2.46
2013,Simulation,1.96
2013,Sports,0.49
2013,Strategy,0.01
2014,Action,1
2014,Action-Adventure,0.57
2014,Adventure,0.16
2014,Fighting,0.01
2014,Misc,0.42
2014,MMO,1.18
2014,Puzzle,0.02
2014,Racing,0.16
2014,Role-Playing,0.98
2014,Shooter,1.71
2014,Simulation,5.6
2014,Sports,0.36
2015,Action,0.44
2015,Action-Adventure,0.16
2015,Adventure,0.03
2015,Fighting,0.05
2015,Misc,0.3
2015,MMO,0.03
2015,Puzzle,0.02
2015,Racing,0.29
2015,Role-Playing,1.4
2015,Shooter,1.25
2015,Simulation,1.01
2015,Sports,0.59
2015,Strategy,1.52
2016,Action,0.37
2016,Action-Adventure,0.25
2016,Adventure,0.14
2016,Fighting,0.07
2016,Music,0.7
2016,Platform,0.08
2016,Racing,0.14
2016,Role-Playing,0.11
2016,Shooter,3.43
2016,Simulation,2
2016,Sports,0.29
2016,Strategy,0.47
2017,Action,0.19
2017,Adventure,0.04
2017,Fighting,0.01
2017,MMO,0.14
2017,Racing,0.05
2017,Role-Playing,0.2
2017,Shooter,0.44
2017,Simulation,0.35
2017,Sports,0.09
2017,Strategy,0.06
2018,Action,0.08
2018,Action-Adventure,0.06
2018,Adventure,0.01
2018,MMO,0.01
2018,Racing,0.01
2018,Role-Playing,0.21
2018,Shooter,0.25
2018,Simulation,0.84
