"","Year","Sales","Platform"
"1",2000,31.69,"PS2"
"2",2000,5.65,"PC"
"3",2001,127.85,"PS2"
"4",2001,15.53,"XB"
"5",2001,4.28,"PC"
"6",2002,185.83,"PS2"
"7",2002,50.93,"XB"
"8",2002,8.39,"PC"
"9",2003,185.34,"PS2"
"10",2003,56.25,"XB"
"11",2003,7.36,"PC"
"12",2004,167.39,"PS2"
"13",2004,54.01,"XB"
"14",2004,1.24,"PC"
"15",2004,0.02,"PS3"
"16",2005,144.63,"PS2"
"17",2005,51.46,"XB"
"18",2005,4.29,"PC"
"19",2006,89.07,"PS2"
"20",2006,10.85,"XB"
"21",2006,2.33,"PC"
"22",2006,15.12,"PS3"
"23",2007,75.2,"PS2"
"24",2007,0.55,"XB"
"25",2007,4.24,"PC"
"26",2007,70.06,"PS3"
"27",2008,64.76,"PS2"
"28",2008,0.24,"XB"
"29",2008,10.96,"PC"
"30",2008,118.24,"PS3"
"31",2009,31.66,"PS2"
"32",2009,15.73,"PC"
"33",2009,118.39,"PS3"
"34",2010,6.16,"PS2"
"35",2010,17.11,"PC"
"36",2010,126.66,"PS3"
"37",2011,0.47,"PS2"
"38",2011,33.19,"PC"
"39",2011,165.84,"PS3"
"40",2012,11.37,"PC"
"41",2012,106.33,"PS3"
"42",2013,7.09,"PC"
"43",2013,105.97,"PS3"
"44",2013,23.92,"PS4"
"45",2013,18.5,"XOne"
"46",2014,12.17,"PC"
"47",2014,53.37,"PS3"
"48",2014,102.19,"PS4"
"49",2014,61.65,"XOne"
"50",2015,7.09,"PC"
"51",2015,21.51,"PS3"
"52",2015,127.57,"PS4"
"53",2015,59.26,"XOne"
"54",2016,8.05,"PC"
"55",2016,6.71,"PS3"
"56",2016,115.94,"PS4"
"57",2016,53.9,"XOne"
"58",2017,1.57,"PC"
"59",2017,1.17,"PS3"
"60",2017,118.19,"PS4"
"61",2017,47.69,"XOne"
"62",2018,1.47,"PC"
"63",2018,0.04,"PS3"
"64",2018,98.81,"PS4"
"65",2018,39.1,"XOne"
"66",2019,0.12,"PS2"
"67",2019,1,"PS4"
"68",2020,0.02,"PS2"
"69",2020,0.18,"PC"
"70",2020,0.35,"PS3"
"71",2020,0.03,"PS4"
