"","X","Name","Genre","Platform","Global_Sales","NA_Sales","JP_Sales","PAL_Sales","Other_Sales","Year","Total_Sales"
"1",2037,"Colin McRae Rally 04","Racing","PC",0.01,0,0,0.01,0,2004,0.01
"2",1485,"Colin McRae Rally 04","Racing","PS2",0.94,0.01,0.01,0.71,0.21,2003,0.94
"3",1955,"Colin McRae Rally 04","Action","XB",0.1,0.08,0,0.02,0,2004,0.1
"4",6287,"Grand Theft Auto: The Trilogy","Adventure","PC",0.03,0,0.01,0.02,0,2009,0.02
"5",5977,"Grand Theft Auto: The Trilogy","Adventure","PS2",1.14,0,0.01,0.51,0.62,2005,1.13
"6",6034,"Grand Theft Auto: The Trilogy","Adventure","XB",0.09,0.06,0.01,0.02,0,2005,0.08
"7",2366,"Gun","Shooter","PC",0.01,0,0,0.01,0,2005,0.01
"8",270,"Gun","Shooter","PS2",1.17,0.98,0.01,0.04,0.16,2005,1.18
"9",2118,"Gun","Shooter","XB",0.52,0.38,0,0.12,0.02,2005,0.52
"10",1428,"Harry Potter and the Chamber of Secrets","Adventure","PC",0.01,0,0,0.01,0,2002,0.01
"11",5716,"Harry Potter and the Chamber of Secrets","Adventure","PS2",2.61,0.9,0.00999999999999979,1.22,0.44,2002,2.6
"12",1237,"Harry Potter and the Chamber of Secrets","Adventure","XB",0.36,0.27,0,0.08,0.01,2002,0.36
"13",2370,"Harry Potter and the Goblet of Fire","Adventure","PC",0.01,0,0,0.01,0,2005,0.01
"14",2100,"Harry Potter and the Goblet of Fire","Adventure","PS2",0.65,0.54,0,0.02,0.09,2005,0.65
"15",293,"Harry Potter and the Goblet of Fire","Adventure","XB",0.23,0.18,0.00999999999999998,0.05,0.01,2005,0.24
"16",5957,"Harry Potter and the Prisoner of Azkaban","Adventure","PC",0.04,0,0.01,0.03,0,2004,0.03
"17",1803,"Harry Potter and the Prisoner of Azkaban","Adventure","PS2",1.02,0.5,0,0.39,0.13,2004,1.02
"18",1908,"Harry Potter and the Prisoner of Azkaban","Adventure","XB",0.19,0.14,0,0.04,0.01,2004,0.19
"19",1116,"Harry Potter and the Sorcerer's Stone","Action","PC",0.06,0.01,0,0.04,0.01,2001,0.06
"20",145,"Harry Potter and the Sorcerer's Stone","Action","PS2",0.28,0.14,0.00999999999999995,0.11,0.04,2003,0.29
"21",1693,"Harry Potter and the Sorcerer's Stone","Action","XB",0.07,0.05,0,0.02,0,2003,0.07
"22",2359,"Heroes of the Pacific","Simulation","PC",0.02,0,0,0.02,0,2005,0.02
"23",2157,"Heroes of the Pacific","Simulation","PS2",0.29,0.14,0,0.11,0.04,2005,0.29
"24",2227,"Heroes of the Pacific","Simulation","XB",0.13,0.1,0,0.03,0,2005,0.13
"25",2547,"Hitman: Blood Money","Action","PC",0.03,0,0,0.03,0,2006,0.03
"26",2408,"Hitman: Blood Money","Action","PS2",0.5,0.25,0,0.19,0.06,2006,0.5
"27",358,"Hitman: Blood Money","Action","XB",0.14,0.11,0.00999999999999998,0.03,0.01,2006,0.15
"28",2352,"Indigo Prophecy","Adventure","PC",0.02,0,0,0.02,0,2005,0.02
"29",2219,"Indigo Prophecy","Adventure","PS2",0.15,0.07,0,0.06,0.02,2005,0.15
"30",2251,"Indigo Prophecy","Adventure","XB",0.1,0.07,0,0.03,0,2005,0.1
"31",1742,"Jurassic Park: Operation Genesis","Simulation","PC",0.02,0,0,0.02,0,2003,0.02
"32",5832,"Jurassic Park: Operation Genesis","Simulation","PS2",0.27,0.13,0.01,0.1,0.03,2003,0.26
"33",5869,"Jurassic Park: Operation Genesis","Simulation","XB",0.07,0.05,0.01,0.01,0,2003,0.06
"34",1758,"Legacy of Kain: Defiance","Adventure","PC",0.01,0,0,0.01,0,2003,0.01
"35",1516,"Legacy of Kain: Defiance","Adventure","PS2",0.53,0.26,0,0.2,0.07,2003,0.53
"36",1615,"Legacy of Kain: Defiance","Adventure","XB",0.19,0.14,0,0.04,0.01,2003,0.19
"37",6127,"LEGO Star Wars II: The Original Trilogy","Action","PC",0.02,0,0.01,0.01,0,2006,0.01
"38",2376,"LEGO Star Wars II: The Original Trilogy","Action","PS2",2.69,1.85,0.01,0.64,0.19,2006,2.69
"39",352,"LEGO Star Wars II: The Original Trilogy","Action","XB",0.44,0.33,0.01,0.1,0.02,2006,0.45
"40",6061,"LEGO Star Wars: The Video Game","Action","PC",0.02,0,0.01,0.01,0,2005,0.01
"41",266,"LEGO Star Wars: The Video Game","Action","PS2",3.53,1.98,0.0100000000000002,1.14,0.41,2005,3.54
"42",2068,"LEGO Star Wars: The Video Game","Action","XB",1.16,0.83,0,0.28,0.05,2005,1.16
"43",2952,"Madden NFL 08","Sports","PC",0.01,0,0,0.01,0,2007,0.01
"44",2657,"Madden NFL 08","Sports","PS2",2.57,2.14,0,0.08,0.35,2007,2.57
"45",2735,"Madden NFL 08","Sports","XB",0.29,0.22,0,0.06,0.01,2007,0.29
"46",1396,"Mafia","Action","PC",0.04,0,0,0.04,0,2002,0.04
"47",1820,"Mafia","Action","PS2",0.7,0.34,0,0.27,0.09,2004,0.7
"48",1895,"Mafia","Action","XB",0.23,0.17,0,0.05,0.01,2004,0.23
"49",1131,"Max Payne","Shooter","PC",0.02,0,0,0.02,0,2001,0.02
"50",980,"Max Payne","Shooter","PS2",3.31,1.99,0.05,1.05,0.22,2001,3.31
"51",999,"Max Payne","Shooter","XB",1.22,0.98,0,0.19,0.05,2001,1.22
"52",5877,"Max Payne 2: The Fall of Max Payne","Shooter","PC",0.03,0,0.01,0.02,0,2003,0.02
"53",5796,"Max Payne 2: The Fall of Max Payne","Shooter","PS2",1.34,0.65,0.01,0.51,0.17,2003,1.33
"54",1505,"Max Payne 2: The Fall of Max Payne","Shooter","XB",0.64,0.47,0,0.15,0.02,2003,0.64
"55",2522,"Need for Speed Carbon","Racing","PC",0.05,0,0,0.04,0.01,2006,0.05
"56",6070,"Need for Speed Carbon","Racing","PS2",1.34,1.22,0.01,0.05,0.01,2006,1.33
"57",2416,"Need for Speed Carbon","Racing","XB",0.47,0.35,0,0.1,0.02,2006,0.47
"58",1975,"Need for Speed Underground 2","Racing","PC",0.07,0,0,0.06,0.01,2004,0.07
"59",1763,"Need for Speed Underground 2","Racing","PS2",6.9,2.71,0.08,3.02,1.09,2004,6.9
"60",1769,"Need for Speed Underground 2","Racing","XB",2.28,1.38,0,0.8,0.1,2004,2.28
"61",2162,"Need for Speed: Most Wanted","Racing","PC",0.28,0.02,0,0.24,0.02,2005,0.28
"62",2044,"Need for Speed: Most Wanted","Racing","PS2",4.37,2.03,0.08,1.79,0.47,2005,4.37
"63",2073,"Need for Speed: Most Wanted","Racing","XB",1.04,0.53,0,0.46,0.05,2005,1.04
"64",1733,"Rayman 3: Hoodlum Havoc","Platform","PC",0.03,0,0,0.03,0,2003,0.03
"65",1567,"Rayman 3: Hoodlum Havoc","Platform","PS2",0.29,0.14,0,0.11,0.04,2003,0.29
"66",177,"Rayman 3: Hoodlum Havoc","Platform","XB",0.07,0.06,0.01,0.02,0,2003,0.08
"67",6104,"Scarface: The World is Yours","Adventure","PC",0.04,0.01,0.01,0.02,0,2006,0.03
"68",2382,"Scarface: The World is Yours","Adventure","PS2",1.19,0.99,0,0.04,0.16,2006,1.19
"69",349,"Scarface: The World is Yours","Adventure","XB",0.49,0.37,0.01,0.11,0.02,2006,0.5
"70",6062,"Sniper Elite","Shooter","PC",0.02,0,0.01,0.01,0,2005,0.01
