"","X","Name","Genre","Platform","Total_Sales","NA_Sales","JP_Sales","PAL_Sales","Other_Sales","Year"
"1",2548,"Blazing Angels: Squadrons of WWII","Simulation","PC",0.03,0.03,0,0,0,2006
"2",2393,"Blazing Angels: Squadrons of WWII","Simulation","PS3",0.67,0.35,0,0.22,0.1,2006
"3",2490,"Blazing Angels: Squadrons of WWII","Simulation","XB",0.08,0.06,0,0.02,0,2006
"4",2076,"Grand Theft Auto: San Andreas","Action","PC",0.97,0,0,0.93,0.04,2005
"5",4179,"Grand Theft Auto: San Andreas","Misc","PS3",0.01,0,0,0.01,0,2012
"6",267,"Grand Theft Auto: San Andreas","Action","XB",1.97,1.26,0.01,0.61,0.09,2005
"7",2952,"Madden NFL 08","Sports","PC",0.01,0,0,0.01,0,2007
"8",385,"Madden NFL 08","Sports","PS3",0.99,0.89,0.01,0.01,0.08,2007
"9",2735,"Madden NFL 08","Sports","XB",0.29,0.22,0,0.06,0.01,2007
"10",2522,"Need for Speed Carbon","Racing","PC",0.05,0,0,0.04,0.01,2006
"11",6072,"Need for Speed Carbon","Racing","PS3",1.24,0.49,0.04,0.51,0.2,2006
"12",2416,"Need for Speed Carbon","Racing","XB",0.47,0.35,0,0.1,0.02,2006
