"","Name","Genre","Platform","Total_Sales","NA_Sales","JP_Sales","PAL_Sales","Other_Sales","Year"
"1","Smuggler's Run","Racing","PS2",1.58,0.77,0.01,0.6,0.2,2000
"2","Madden NFL 2001","Sports","PS2",1.52,1.19,0.06,0.07,0.2,2000
"3","Kessen","Strategy","PS2",0.97,0.27,0.42,0.21,0.07,2000
"4","Armored Core 2","Simulation","PS2",0.81,0.28,0.24,0.22,0.07,2000
"5","Summoner","Role-Playing","PS2",0.53,0.25,0.01,0.2,0.07,2000
"6","Fantavision","Puzzle","PS2",0.49,0.14,0.2,0.11,0.04,2000
"7","TimeSplitters","Shooter","PS2",0.45,0.21,0.01,0.17,0.06,2000
"8","Silent Scope","Shooter","PS2",0.4,0.19,0.01,0.15,0.05,2000
"9","NFL GameDay 2001","Sports","PS2",0.38,0.18,0.01,0.14,0.05,2000
"10","EverGrace","Role-Playing","PS2",0.37,0.1,0.16,0.08,0.03,2000
"11","Real Pool","Sports","PS2",0.3,0.14,0.00999999999999995,0.11,0.04,2000
"12","Tony Hawk's Pro Skater 3","Sports","PS2",4.43,2.66,0.0199999999999998,1.29,0.46,2001
"13","Jak and Daxter: The Precursor Legacy","Platform","PS2",3.66,2.08,0.16,1.09,0.33,2001
"14","James Bond 007: Agent Under Fire","Shooter","PS2",3.55,1.9,0.11,1.13,0.41,2001
"15","Madden NFL 2002","Sports","PS2",3.1,2.5,0.0199999999999998,0.16,0.42,2001
"16","Crazy Taxi","Racing","PS2",2.54,1.13,0.0699999999999998,1.12,0.22,2001
"17","Pro Evolution Soccer","Sports","PS2",1.77,0.06,0.54,0.9,0.27,2001
"18","Baldur's Gate: Dark Alliance","Role-Playing","PS2",1.26,0.61,0.01,0.48,0.16,2001
"19","NHL Hitz 20-02","Sports","PS2",0.58,0.28,0.0099999999999999,0.22,0.07,2001
"20","Victorious Boxers: Ippo's Road to Glory","Fighting","PS2",0.49,0.05,0.39,0.04,0.01,2001
"21","NFL GameDay 2002","Sports","PS2",0.4,0.19,0.01,0.15,0.05,2001
"22","ESPN X Games Skateboarding","Sports","PS2",0.38,0.18,0.01,0.14,0.05,2001
"23","Monster Rancher 3","Simulation","PS2",0.38,0.11,0.15,0.09,0.03,2001
"24","Okage: Shadow King","Role-Playing","PS2",0.38,0.14,0.09,0.11,0.04,2001
"25","Bass Strike","Sports","PS2",0.3,0.14,0.00999999999999995,0.11,0.04,2001
"26","Dark Summit","Sports","PS2",0.23,0.11,0.01,0.08,0.03,2001
